OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,181865,225341,154953,122549,87169
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,156644,253075,170284,130251,102089
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,219051,266066,180887,148865,102107
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,196675,244521,166875,135540,85784
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,221155,312477,200935,161177,107669
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,178534,236068,152474,123476,92410
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-09-01T00:00:00,2020-09-30T23:59:59,Month,2020-09,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,189988,250862,168743,135315,98111
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-09-01T00:00:00,2020-09-30T23:59:59,Month,2020-09,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,160666,220626,138390,110748,81713
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-09-01T00:00:00,2020-09-30T23:59:59,Month,2020-09,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,182202,225130,155589,123106,88277
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-09-01T00:00:00,2020-09-30T23:59:59,Month,2020-09,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,154245,247744,167712,128427,101164
